variant,dataset,repeat,num_workers,batch_size,device,stage,calls,ms_per_call,pct
timed,qm9,0,0,8,cuda,backward,60,11.69,27.3
timed,qm9,0,0,8,cuda,forward,60,9.75,22.8
timed,qm9,0,0,8,cuda,group_and_join,78,1.51,4.6
timed,qm9,0,0,8,cuda,h2d,60,2.1,4.9
timed,qm9,0,0,8,cuda,loader,60,11.81,27.6
timed,qm9,0,0,8,cuda,loss,60,1.8,4.2
timed,qm9,0,0,8,cuda,optimizer,60,2.12,4.9
timed,qm9,0,0,8,cuda,serialize,78,1.97,6.0
timed,qm9,0,0,8,cuda,step,60,31.03,72.4
timed,qm9,0,0,8,cuda,transforms,78,6.73,20.4
timed,qm9,0,0,8,cuda,transforms/apply_random_augmentations,60,2.71,6.3
timed,qm9,0,0,8,cuda,transforms/transform,312,1.15,13.9
timed,qm9,0,0,8,cuda,unpack,60,1.12,2.6
timed,qm9,0,0,8,cuda,backward,60,13.21,30.2
timed,qm9,0,0,8,cuda,forward,60,9.63,22.0
timed,qm9,0,0,8,cuda,group_and_join,78,1.75,5.2
timed,qm9,0,0,8,cuda,h2d,60,2.11,4.8
timed,qm9,0,0,8,cuda,loader,60,12.1,27.6
timed,qm9,0,0,8,cuda,loss,60,1.4,3.2
timed,qm9,0,0,8,cuda,optimizer,60,1.79,4.1
timed,qm9,0,0,8,cuda,serialize,78,2.01,6.0
timed,qm9,0,0,8,cuda,step,60,31.67,72.4
timed,qm9,0,0,8,cuda,transforms,78,6.69,19.9
timed,qm9,0,0,8,cuda,transforms/apply_random_augmentations,60,2.67,6.1
timed,qm9,0,0,8,cuda,transforms/transform,312,1.14,13.6
timed,qm9,0,0,8,cuda,unpack,60,1.12,2.6
timed,qm9,0,0,8,cuda,backward,60,11.6,27.4
timed,qm9,0,0,8,cuda,forward,60,9.56,22.6
timed,qm9,0,0,8,cuda,group_and_join,78,1.5,4.6
timed,qm9,0,0,8,cuda,h2d,60,2.09,4.9
timed,qm9,0,0,8,cuda,loader,60,11.98,28.3
timed,qm9,0,0,8,cuda,loss,60,1.67,4.0
timed,qm9,0,0,8,cuda,optimizer,60,1.96,4.6
timed,qm9,0,0,8,cuda,serialize,78,1.95,6.0
timed,qm9,0,0,8,cuda,step,60,30.3,71.7
timed,qm9,0,0,8,cuda,transforms,78,6.84,21.0
timed,qm9,0,0,8,cuda,transforms/apply_random_augmentations,60,2.77,6.6
timed,qm9,0,0,8,cuda,transforms/transform,312,1.16,14.3
timed,qm9,0,0,8,cuda,unpack,60,1.09,2.6
timed,carbon,0,0,8,cuda,backward,60,14.19,31.2
timed,carbon,0,0,8,cuda,forward,60,9.36,20.6
